City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,90,0,16.11,clear sky
177,Wigston,GB,52.5863,-1.1059,64.04,63,99,10.89,overcast clouds
178,East London,ZA,-33.0153,27.9116,52.84,65,95,3.51,overcast clouds
179,Grand-Santi,GF,4.25,-54.3833,75.06,92,98,2.84,overcast clouds
180,Boddam,GB,57.4667,-1.7833,57.58,89,100,6.02,overcast clouds
181,Atuona,PF,-9.8,-139.0333,77.43,76,40,11.43,scattered clouds
182,Saldanha,ZA,-33.0117,17.9442,42.85,66,0,8.03,clear sky
183,Pendleton,US,45.6721,-118.7886,90.43,16,1,1.99,clear sky
184,Fairbanks,US,64.8378,-147.7164,74.23,68,90,0.0,light rain
185,Torbay,CA,47.6666,-52.7314,60.76,95,90,5.75,fog
186,Pacific Grove,US,36.6177,-121.9166,95.29,75,1,5.01,clear sky
187,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,4.92,light rain
188,Salamiyah,SY,35.0113,37.0532,74.8,75,44,9.4,scattered clouds
189,Puerto Escondido,MX,15.85,-97.0667,88.63,66,75,8.05,broken clouds
190,Butaritari,KI,3.0707,172.7902,83.17,77,38,16.84,light rain
191,Abalak,RU,58.1286,68.5944,59.76,97,100,6.38,overcast clouds
192,Baie-Saint-Paul,CA,47.4411,-70.4986,75.18,94,76,4.63,broken clouds
193,Coquimbo,CL,-29.9533,-71.3436,55.13,71,75,4.61,broken clouds
194,Olafsvik,IS,64.8945,-23.7142,52.3,97,100,12.01,moderate rain
195,Prado,BR,-17.3411,-39.2208,69.06,77,100,9.22,overcast clouds
196,Vostok,RU,46.4856,135.8833,82.24,60,92,0.78,overcast clouds
197,Cookeville,US,36.1628,-85.5016,86.85,61,1,1.01,clear sky
198,Halifax,CA,44.6453,-63.5724,68.52,78,12,1.01,few clouds
199,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,26,6.26,scattered clouds
200,Cabo San Lucas,MX,22.8909,-109.9124,101.52,51,1,9.22,clear sky
201,Burgos,ES,42.3394,-3.7079,59.41,77,0,8.05,clear sky
202,Lorengau,PG,-2.0226,147.2712,82.63,80,30,8.34,scattered clouds
203,Seoul,KR,37.5683,126.9778,82.0,76,0,3.44,clear sky
204,Dallas,US,32.7668,-96.7836,97.52,48,40,1.99,scattered clouds
205,Bijawar,IN,24.6333,79.5,79.93,86,100,0.54,overcast clouds
206,Estevan,CA,49.1334,-102.9842,86.2,17,1,11.5,clear sky
207,Iralaya,HN,15.0,-83.2333,87.89,75,32,10.69,scattered clouds
208,Jalu,LY,29.0331,21.5482,80.13,55,0,12.19,clear sky
209,Sinazongwe,ZM,-17.2614,27.4618,68.56,39,86,3.6,overcast clouds
210,Havelock,US,34.8791,-76.9013,84.43,60,4,5.01,clear sky
211,Anadyr,RU,64.75,177.4833,59.5,77,40,11.18,light rain
212,Pitimbu,BR,-7.4706,-34.8086,75.79,83,14,14.54,few clouds
