City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Manica,FR,2021-07-23 16:25:58,49.0,-1.1667,80.01,42,100,11.27
248,Lebu,CL,2021-07-23 16:20:24,-37.6167,-73.65,53.67,79,100,13.87
249,Nouadhibou,MR,2021-07-23 16:23:29,20.931,-17.0347,75.18,64,0,18.41
250,Quatre Cocos,MU,2021-07-23 16:17:39,-20.2078,57.7625,71.71,68,14,12.91
251,Neuhof,DE,2021-07-23 16:27:32,50.4531,9.6175,80.98,46,34,2.39
252,Puerto Del Rosario,ES,2021-07-23 16:23:16,28.5004,-13.8627,82.15,57,20,18.41
253,Tiznit,MA,2021-07-23 16:20:23,29.5833,-9.5,100.78,17,25,2.3
254,Tecoanapa,MX,2021-07-23 16:25:15,16.5167,-98.75,85.5,62,65,1.07
255,Saldanha,ZA,2021-07-23 16:20:57,-33.0117,17.9442,55.45,57,0,6.29
256,Telica,NI,2021-07-23 16:27:33,12.522,-86.8594,90.75,42,87,10.67
257,Kribi,CM,2021-07-23 16:27:33,2.95,9.9167,77.45,85,99,11.14
258,Worland,US,2021-07-23 16:20:14,44.0169,-107.9554,84.6,30,67,6.44
259,Nemuro,JP,2021-07-23 16:19:53,43.3236,145.575,61.45,95,84,10.13
260,Utraula,IN,2021-07-23 16:27:34,27.3167,82.4167,87.71,69,48,5.7
261,Charters Towers,AU,2021-07-23 16:27:34,-20.1,146.2667,61.25,90,98,8.84
262,Belaya Gora,RU,2021-07-23 16:27:34,68.5333,146.4167,50.61,56,76,6.49
263,Cacoal,BR,2021-07-23 16:27:35,-11.4386,-61.4472,95.95,20,0,5.53
264,Gigmoto,PH,2021-07-23 16:27:35,13.7796,124.39,81.73,83,99,14.99
265,Kyenjojo,UG,2021-07-23 16:27:35,0.6328,30.6214,75.22,47,71,2.01
266,Salyan,AZ,2021-07-23 16:27:35,39.5936,48.9805,83.41,60,0,14.9
267,Bilma,NE,2021-07-23 16:25:35,18.6853,12.9164,103.53,18,6,0.81
268,Deep River,CA,2021-07-23 16:26:07,46.1001,-77.4995,72.43,44,0,3.83
269,Acarau,BR,2021-07-23 16:20:43,-2.8856,-40.12,88.25,47,7,18.23
270,Margate,GB,2021-07-23 16:24:07,51.3813,1.3862,70.32,72,75,5.99
271,Bathsheba,BB,2021-07-23 16:21:08,13.2167,-59.5167,86.61,74,40,18.41
272,Srandakan,ID,2021-07-23 16:25:21,-7.9386,110.2506,77.25,79,22,8.86
273,Neuquen,AR,2021-07-23 16:27:36,-38.9516,-68.0591,58.89,47,0,3.44
274,Ouahigouya,BF,2021-07-23 16:27:36,13.5828,-2.4216,94.8,35,30,8.86
275,Semnan,IR,2021-07-23 16:27:37,35.5729,53.3971,94.57,19,15,4.34
276,Isangel,VU,2021-07-23 16:23:57,-19.55,169.2667,74.61,87,12,4.81
277,Aykhal,RU,2021-07-23 16:23:54,66.0,111.5,58.62,77,77,7.92
278,Santa Rosa,PH,2021-07-23 16:24:19,14.3122,121.1114,80.91,92,100,15.39
279,Dikson,RU,2021-07-23 16:20:06,73.5069,80.5464,44.2,70,24,10.18
280,Tiksi,RU,2021-07-23 16:19:57,71.6872,128.8694,42.31,85,96,5.28
281,Kaohsiung,TW,2021-07-23 16:27:37,22.6163,120.3133,84.15,84,40,5.01
282,Novyy Urengoy,RU,2021-07-23 16:21:18,66.0833,76.6333,72.0,73,98,26.78
283,Palmer,US,2021-07-23 16:24:31,42.1584,-72.3287,80.58,47,40,1.01
284,Ust-Nera,RU,2021-07-23 16:24:47,64.5667,143.2,52.86,89,95,2.51
285,Nelson Bay,AU,2021-07-23 16:23:42,-32.7167,152.15,54.95,92,9,7.05
286,Thompson,CA,2021-07-23 16:20:01,55.7435,-97.8558,71.76,43,1,19.57
287,Luwuk,ID,2021-07-23 16:27:38,-0.9516,122.7875,75.58,87,98,7.63
288,Puerto Escondido,MX,2021-07-23 16:27:38,15.85,-97.0667,86.83,70,40,8.05
289,Pochutla,MX,2021-07-23 16:21:25,15.7432,-96.4661,91.81,53,32,4.25
290,Baraboo,US,2021-07-23 16:27:38,43.4711,-89.7443,86.14,64,1,6.91
291,Ola,RU,2021-07-23 16:19:20,59.5833,151.2833,52.65,90,100,3.47
292,San Carlos,VE,2021-07-23 16:27:39,9.6612,-68.5827,80.64,86,66,4.21
